DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2018-9103-URY,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,GLIDE:DR-2018-000033,,URY,Uruguay,Latin America and the Caribbean,Americas,"Tacuarembó, Salto, Durazno, Artigas, Paysandú, Rivera, Río Negro, Florida, Treinta y Tres, Maldonado, Cerro Largo, Colonia","Lack of rain, La Nina",,No,No,Yes,,,Km2,,,,2018,1,,2023,1,,,,75000,,75000,,,,,500000,606718,82.4106679610351,"[{""adm1_code"":3265,""adm1_name"":""Artigas""},{""adm1_code"":3267,""adm1_name"":""Cerro Largo""},{""adm1_code"":3268,""adm1_name"":""Colonia""},{""adm1_code"":3269,""adm1_name"":""Durazno""},{""adm1_code"":3271,""adm1_name"":""Florida""},{""adm1_code"":3273,""adm1_name"":""Maldonado""},{""adm1_code"":3275,""adm1_name"":""Paysandu""},{""adm1_code"":3276,""adm1_name"":""Rio Negro""},{""adm1_code"":3277,""adm1_name"":""Rivera""},{""adm1_code"":3279,""adm1_name"":""Salto""},{""adm1_code"":3282,""adm1_name"":""Tacuarembo""},{""adm1_code"":3283,""adm1_name"":""Treinta Y Tres""}]",2018-04-03,2023-09-25
2018-9277-CRI,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,CRI,Costa Rica,Latin America and the Caribbean,Americas,,El NIno,,No,No,No,,,Km2,,,,2019,3,,2019,3,,,,,,,,,,,,,83.9041700601057,"[{""adm1_code"":983,""adm1_name"":""Guanacaste""},{""adm1_code"":986,""adm1_name"":""Puntarenas""},{""adm1_code"":987,""adm1_name"":""San Jose""}]",2019-03-18,2023-09-25
2018-9277-GTM,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,GTM,Guatemala,Latin America and the Caribbean,Americas,,,,No,No,No,,,Km2,,,,2018,6,,2019,3,,,,1500000,,1500000,,,,,44669,54203,82.4106679610351,,2018-08-09,2023-09-25
2018-9277-HND,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,HND,Honduras,Latin America and the Caribbean,Americas,,El Nino,,No,No,No,,,Km2,,,,2018,6,,2019,3,,,,360000,,360000,,,,,,,82.4106679610351,,2018-08-09,2023-09-25
2018-9277-NIC,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,NIC,Nicaragua,Latin America and the Caribbean,Americas,,El Nino,,No,No,No,,,Km2,,,,2018,6,,2019,3,,,,300000,,300000,,,,,,,82.4106679610351,"[{""adm1_code"":2187,""adm1_name"":""Boaco""},{""adm1_code"":2188,""adm1_name"":""Carazo""},{""adm1_code"":2189,""adm1_name"":""Chinandega""},{""adm1_code"":2190,""adm1_name"":""Chontales""},{""adm1_code"":2191,""adm1_name"":""Esteli""},{""adm1_code"":2193,""adm1_name"":""Jinotega""},{""adm1_code"":2194,""adm1_name"":""Leon""},{""adm1_code"":2195,""adm1_name"":""Madriz""},{""adm1_code"":2196,""adm1_name"":""Managua""},{""adm1_code"":2197,""adm1_name"":""Masaya""},{""adm1_code"":2198,""adm1_name"":""Matagalpa""},{""adm1_code"":2199,""adm1_name"":""Nueva Segovia""},{""adm1_code"":2201,""adm1_name"":""Rivas""}]",2018-08-20,2023-09-25
2018-9277-PAN,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,PAN,Panama,Latin America and the Caribbean,Americas,,El NIno,,No,No,No,,,Km2,,,,2018,6,,2019,3,,,,,,,,,,,72000,87367,82.4106679610351,,2018-08-09,2023-09-25
2018-9277-SLV,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,SLV,El Salvador,Latin America and the Caribbean,Americas,"San Vicente, Usulutan and San Miguel zones","Lack of rain, El NIno",Heat wave,No,No,No,,,Km2,,,,2018,6,,2019,3,,,,386610,,386610,,,,,37000,44897,82.4106679610351,"[{""adm1_code"":1192,""adm1_name"":""San Miguel""},{""adm1_code"":1194,""adm1_name"":""San Vicente""},{""adm1_code"":1197,""adm1_name"":""Usulutan""}]",2018-08-08,2023-09-25
2018-9476-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,USA,United States of America,Northern America,Americas,Nationwide,,,No,No,No,,,Km2,,,,2018,1,,2018,12,,,,,,,,,,,3000000,3640305,82.4106679610351,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3221,""adm1_name"":""Delaware""},{""adm1_code"":3222,""adm1_name"":""District of Columbia""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3225,""adm1_name"":""Hawaii""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm1_code"":3259,""adm1_name"":""Vermont""},{""adm1_code"":3260,""adm1_name"":""Virginia""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3262,""adm1_name"":""West Virginia""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2019-02-22,2023-09-25
2019-0004-ECU,No,tec-mis-fir-fir,Technological,Miscellaneous accident,Fire (Miscellaneous),Fire (Miscellaneous),,Hospital,ECU,Ecuador,Latin America and the Caribbean,Americas,Guayaquil,,,No,No,No,,,,,,,2019,1,11,2019,1,11,17,12,,,12,,,,,,,83.9041700601057,,2019-01-16,2023-09-25
2019-0007-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"Missouri, Illinois, Iowa, Kansas, Nebraska, Washington DC, Virginia, Colorado, North, South Carolina",,Snow/ice,No,No,Yes,,,Kph,,,,2019,1,11,2019,1,15,13,57,,,57,,,,,,,83.9041700601057,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3222,""adm1_name"":""District of Columbia""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2019-01-17,2023-09-25
